cluster_id,pair,direction,session_date,session,weekday,entry_window_start,entry_window_end,timestamp,future_mfe_pips,future_mae_pips,time_to_target_min,valid_entry
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:44:00.000000000Z,20.3,1.0,7,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:45:00.000000000Z,20.3,1.0,6,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:46:00.000000000Z,21.3,0.0,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:47:00.000000000Z,21.3,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:48:00.000000000Z,21.0,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:49:00.000000000Z,20.3,0.0,2,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:50:00.000000000Z,19.4,0.0,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:51:00.000000000Z,17.3,0.9,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:52:00.000000000Z,18.2,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:53:00.000000000Z,18.0,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:54:00.000000000Z,17.9,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:55:00.000000000Z,16.9,0.0,18,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:56:00.000000000Z,15.5,0.9,29,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:57:00.000000000Z,15.4,1.0,28,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:58:00.000000000Z,15.4,1.0,27,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:59:00.000000000Z,16.4,0.0,19,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:00:00.000000000Z,15.2,0.4,25,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:01:00.000000000Z,16.4,0.8,24,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:02:00.000000000Z,16.9,0.3,23,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:03:00.000000000Z,16.4,0.8,22,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:04:00.000000000Z,16.2,1.0,22,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:05:00.000000000Z,17.0,0.2,20,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:06:00.000000000Z,17.2,0.0,19,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:07:00.000000000Z,17.2,0.0,18,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:08:00.000000000Z,16.2,1.0,18,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:09:00.000000000Z,16.6,0.6,16,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:10:00.000000000Z,16.5,0.7,15,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:11:00.000000000Z,17.2,0.0,14,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:12:00.000000000Z,16.6,0.3,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:13:00.000000000Z,15.8,1.1,16,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:14:00.000000000Z,15.6,1.3,15,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:15:00.000000000Z,16.1,0.8,11,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:16:00.000000000Z,15.6,1.3,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:17:00.000000000Z,15.6,1.3,12,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:18:00.000000000Z,15.4,1.5,11,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:19:00.000000000Z,16.9,0.0,6,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:20:00.000000000Z,16.5,0.3,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:21:00.000000000Z,16.2,0.6,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:22:00.000000000Z,16.8,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:23:00.000000000Z,15.0,0.2,6,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:24:00.000000000Z,15.2,0.0,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:25:00.000000000Z,13.8,0.3,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:26:00.000000000Z,13.6,0.5,12,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:27:00.000000000Z,13.3,0.8,11,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:28:00.000000000Z,13.5,0.6,10,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:30:00.000000000Z,12.4,1.7,10,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:33:00.000000000Z,12.4,1.7,7,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:34:00.000000000Z,14.1,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:35:00.000000000Z,14.0,0.0,2,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:36:00.000000000Z,12.0,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:45:00.000000000Z,13.8,2.4,19,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:46:00.000000000Z,14.8,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:51:00.000000000Z,13.7,2.5,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:52:00.000000000Z,16.2,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:53:00.000000000Z,15.6,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:54:00.000000000Z,15.4,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:55:00.000000000Z,15.1,0.0,2,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:56:00.000000000Z,13.6,0.0,8,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:57:00.000000000Z,11.9,1.5,8,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:58:00.000000000Z,11.4,2.0,7,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T11:59:00.000000000Z,12.8,0.6,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:00:00.000000000Z,13.1,0.3,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:01:00.000000000Z,13.4,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:02:00.000000000Z,13.2,0.2,2,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:03:00.000000000Z,13.4,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:04:00.000000000Z,9.9,0.0,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:05:00.000000000Z,8.4,0.8,7,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:06:00.000000000Z,8.7,0.5,6,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:07:00.000000000Z,9.2,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:08:00.000000000Z,8.8,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:09:00.000000000Z,6.9,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:10:00.000000000Z,6.6,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:11:00.000000000Z,6.2,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:12:00.000000000Z,5.5,0.0,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:30:00.000000000Z,8.8,2.4,10,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:31:00.000000000Z,9.0,2.2,9,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:32:00.000000000Z,8.8,2.4,8,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:33:00.000000000Z,11.2,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:35:00.000000000Z,8.0,2.2,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:37:00.000000000Z,8.2,2.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:38:00.000000000Z,10.2,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:39:00.000000000Z,6.6,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:40:00.000000000Z,2.6,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:44:00.000000000Z,2.6,1.8,9,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:45:00.000000000Z,2.8,1.6,8,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:46:00.000000000Z,4.4,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:47:00.000000000Z,3.4,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T12:48:00.000000000Z,3.0,0.0,5,1
LONG_0004,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T13:04:00+00:00,2024-01-15T13:35:00+00:00,2024-01-15T13:09:00.000000000Z,7.7,0.0,2,1
LONG_0004,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T13:04:00+00:00,2024-01-15T13:35:00+00:00,2024-01-15T13:10:00.000000000Z,5.9,1.2,9,1
LONG_0004,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T13:04:00+00:00,2024-01-15T13:35:00+00:00,2024-01-15T13:12:00.000000000Z,5.7,1.4,7,1
LONG_0004,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T13:04:00+00:00,2024-01-15T13:35:00+00:00,2024-01-15T13:13:00.000000000Z,6.5,0.6,4,1
LONG_0004,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T13:04:00+00:00,2024-01-15T13:35:00+00:00,2024-01-15T13:14:00.000000000Z,6.5,0.6,3,1
