cluster_id,distance,direction,timestamp,session,weekday,pre_range_pips,pre_trend_pips,pre_volatility,pre_speed,pre_efficiency,minutes_from_cluster_start,minutes_to_cluster_end,cluster_progress
LONG_2.5_006,2.5,LONG,2024-01-15T15:24:00.000000000Z,london,monday,2.500000000000835,2.300000000001745,0.8900000000005015,1.5250000000005537,0.2584269662921853,79,65,0.5486111111111112
LONG_2.5_006,2.5,LONG,2024-01-15T15:25:00.000000000Z,london,monday,5.1000000000001044,4.100000000000215,1.0700000000003485,2.1500000000002073,0.38317757009335324,80,64,0.5555555555555556
LONG_2.5_006,2.5,LONG,2024-01-15T15:26:00.000000000Z,london,monday,5.699999999999594,4.199999999998649,1.080000000000192,1.7500000000003624,0.3888888888886947,81,63,0.5625
LONG_2.5_006,2.5,LONG,2024-01-15T15:27:00.000000000Z,london,monday,5.699999999999594,3.4000000000000696,1.1600000000000499,1.7500000000003624,0.2931034482758555,82,62,0.5694444444444444
LONG_2.5_006,2.5,LONG,2024-01-15T15:28:00.000000000Z,london,monday,5.699999999999594,3.20000000000098,1.1799999999999589,1.3499999999994072,0.2711864406780586,83,61,0.5763888888888888
LONG_2.5_006,2.5,LONG,2024-01-15T15:29:00.000000000Z,london,monday,5.699999999999594,4.100000000000215,1.2699999999998823,0.9249999999993985,0.32283464566933817,84,60,0.5833333333333334
LONG_2.5_006,2.5,LONG,2024-01-15T15:30:00.000000000Z,london,monday,5.699999999999594,2.100000000000435,1.4699999999998603,1.3499999999994072,0.142857142857186,85,59,0.5902777777777778
LONG_2.5_006,2.5,LONG,2024-01-15T15:31:00.000000000Z,london,monday,5.599999999998939,1.40000000000029,1.5199999999997438,1.0499999999991072,0.09210526315792933,86,58,0.5972222222222222
LONG_2.5_006,2.5,LONG,2024-01-15T15:32:00.000000000Z,london,monday,5.20000000000076,-0.9999999999998899,1.3199999999999878,0.9999999999998899,0.07575757575756811,87,57,0.6041666666666666
LONG_2.5_006,2.5,LONG,2024-01-15T15:33:00.000000000Z,london,monday,5.20000000000076,0.30000000000196536,1.1899999999998023,0.8999999999997899,0.02521008403378279,88,56,0.6111111111111112
LONG_2.5_006,2.5,LONG,2024-01-15T15:34:00.000000000Z,london,monday,5.20000000000076,-2.000000000002,1.0199999999997988,0.40000000000040004,0.19607843137278377,89,55,0.6180555555555556
LONG_2.5_006,2.5,LONG,2024-01-15T15:35:00.000000000Z,london,monday,5.699999999999594,-5.1000000000001044,0.8099999999997554,0.37500000000023626,0.6296296296298327,90,54,0.625
LONG_2.5_006,2.5,LONG,2024-01-15T15:36:00.000000000Z,london,monday,6.599999999998829,-6.599999999998829,0.8399999999997299,0.5499999999997174,0.785714285714399,91,53,0.6319444444444444
LONG_2.5_006,2.5,LONG,2024-01-15T15:37:00.000000000Z,london,monday,6.6000000000010495,-6.099999999999994,0.7899999999998464,0.7500000000004725,0.7721518987343267,92,52,0.6388888888888888
LONG_2.5_006,2.5,LONG,2024-01-15T15:38:00.000000000Z,london,monday,6.900000000000794,-6.00000000000156,0.7800000000000029,0.7499999999999174,0.7692307692309663,93,51,0.6458333333333334
LONG_2.5_006,2.5,LONG,2024-01-15T15:39:00.000000000Z,london,monday,6.900000000000794,-6.699999999999484,0.7100000000002105,0.6750000000005363,0.9436619718306335,94,50,0.6527777777777778
LONG_2.5_006,2.5,LONG,2024-01-15T15:40:00.000000000Z,london,monday,4.60000000000127,-3.6999999999998145,0.5500000000002725,0.6250000000007638,0.6727272727269057,95,49,0.6597222222222222
LONG_2.5_006,2.5,LONG,2024-01-15T15:41:00.000000000Z,london,monday,4.00000000000178,-3.00000000000189,0.500000000000167,0.3249999999999087,0.6000000000001776,96,48,0.6666666666666666
LONG_2.5_006,2.5,LONG,2024-01-15T15:42:00.000000000Z,london,monday,3.8000000000004697,-1.1999999999989797,0.640000000000196,0.6500000000003725,0.18749999999978317,97,47,0.6736111111111112
LONG_2.5_006,2.5,LONG,2024-01-15T15:43:00.000000000Z,london,monday,3.300000000001635,-1.80000000000069,0.700000000000367,0.8750000000001812,0.25714285714282087,98,46,0.6805555555555556
LONG_2.5_006,2.5,LONG,2024-01-15T15:44:00.000000000Z,london,monday,2.9999999999996696,0.0,0.8200000000000429,1.074999999999826,0.0,99,45,0.6875
LONG_2.5_006,2.5,LONG,2024-01-15T15:45:00.000000000Z,london,monday,4.60000000000127,2.100000000000435,0.9300000000003195,1.4500000000006175,0.2258064516128724,100,44,0.6944444444444444
LONG_2.5_006,2.5,LONG,2024-01-15T15:46:00.000000000Z,london,monday,4.60000000000127,1.4999999999987246,0.9900000000004905,1.4250000000004537,0.15151515151494763,101,43,0.7013888888888888
