instrument,ts,bid,ask,mid
EUR_USD,1769775580.0,1.19462,1.19478,1.19470
EUR_USD,1769775585.0,1.19466,1.19482,1.19474
EUR_USD,1769775590.0,1.19466,1.19482,1.19474
EUR_USD,1769775595.0,1.19465,1.19481,1.19473
EUR_USD,1769775600.0,1.19464,1.19479,1.19471
EUR_USD,1769775605.0,1.19457,1.19473,1.19465
EUR_USD,1769775610.0,1.19459,1.19476,1.19468
EUR_USD,1769775615.0,1.19468,1.19483,1.19476
EUR_USD,1769775620.0,1.19466,1.19482,1.19474
EUR_USD,1769775625.0,1.19460,1.19475,1.19468
EUR_USD,1769775630.0,1.19459,1.19475,1.19467
EUR_USD,1769775635.0,1.19458,1.19473,1.19466
EUR_USD,1769775640.0,1.19460,1.19478,1.19469
EUR_USD,1769775645.0,1.19455,1.19471,1.19463
EUR_USD,1769775650.0,1.19456,1.19472,1.19464
EUR_USD,1769775655.0,1.19455,1.19472,1.19463
EUR_USD,1769775660.0,1.19459,1.19475,1.19467
EUR_USD,1769775665.0,1.19456,1.19473,1.19464
EUR_USD,1769775670.0,1.19460,1.19476,1.19468
EUR_USD,1769775675.0,1.19455,1.19471,1.19463
EUR_USD,1769775680.0,1.19452,1.19469,1.19461
EUR_USD,1769775685.0,1.19453,1.19469,1.19461
EUR_USD,1769775690.0,1.19453,1.19469,1.19461
EUR_USD,1769775695.0,1.19453,1.19469,1.19461
EUR_USD,1769775700.0,1.19450,1.19466,1.19458
EUR_USD,1769775705.0,1.19455,1.19471,1.19463
EUR_USD,1769775710.0,1.19456,1.19472,1.19464
EUR_USD,1769775715.0,1.19456,1.19472,1.19464
EUR_USD,1769775720.0,1.19467,1.19484,1.19475
EUR_USD,1769775725.0,1.19462,1.19479,1.19470
EUR_USD,1769775730.0,1.19462,1.19480,1.19471
EUR_USD,1769775735.0,1.19466,1.19482,1.19474
EUR_USD,1769775740.0,1.19466,1.19482,1.19474
EUR_USD,1769775745.0,1.19469,1.19486,1.19477
EUR_USD,1769775750.0,1.19464,1.19480,1.19472
EUR_USD,1769775755.0,1.19471,1.19487,1.19479
EUR_USD,1769775760.0,1.19467,1.19483,1.19475
EUR_USD,1769775765.0,1.19465,1.19482,1.19474
EUR_USD,1769775770.0,1.19466,1.19482,1.19474
EUR_USD,1769775775.0,1.19466,1.19482,1.19474
EUR_USD,1769775780.0,1.19463,1.19479,1.19471
EUR_USD,1769775785.0,1.19466,1.19482,1.19474
EUR_USD,1769775790.0,1.19465,1.19481,1.19473
EUR_USD,1769775795.0,1.19462,1.19478,1.19470
EUR_USD,1769775800.0,1.19454,1.19471,1.19462
EUR_USD,1769775805.0,1.19452,1.19469,1.19461
EUR_USD,1769775810.0,1.19452,1.19469,1.19461
EUR_USD,1769775815.0,1.19452,1.19469,1.19461
EUR_USD,1769775820.0,1.19447,1.19463,1.19455
EUR_USD,1769775825.0,1.19453,1.19469,1.19461
EUR_USD,1769775830.0,1.19452,1.19466,1.19459
EUR_USD,1769775835.0,1.19445,1.19462,1.19454
EUR_USD,1769775840.0,1.19445,1.19462,1.19454
EUR_USD,1769775845.0,1.19443,1.19459,1.19451
EUR_USD,1769775850.0,1.19445,1.19460,1.19453
EUR_USD,1769775855.0,1.19439,1.19455,1.19447
EUR_USD,1769775860.0,1.19443,1.19460,1.19451
EUR_USD,1769775865.0,1.19435,1.19452,1.19443
EUR_USD,1769775870.0,1.19435,1.19452,1.19443
EUR_USD,1769775875.0,1.19427,1.19445,1.19436
EUR_USD,1769775880.0,1.19425,1.19443,1.19434
EUR_USD,1769775885.0,1.19425,1.19443,1.19434
EUR_USD,1769775890.0,1.19429,1.19446,1.19437
EUR_USD,1769775895.0,1.19432,1.19449,1.19441
EUR_USD,1769775900.0,1.19435,1.19451,1.19443
EUR_USD,1769775905.0,1.19434,1.19452,1.19443
EUR_USD,1769775910.0,1.19430,1.19448,1.19439
EUR_USD,1769775915.0,1.19430,1.19448,1.19439
EUR_USD,1769775920.0,1.19432,1.19448,1.19440
EUR_USD,1769775925.0,1.19432,1.19448,1.19440
EUR_USD,1769775930.0,1.19430,1.19446,1.19438
EUR_USD,1769775935.0,1.19427,1.19443,1.19435
EUR_USD,1769775940.0,1.19423,1.19439,1.19431
EUR_USD,1769775945.0,1.19416,1.19433,1.19425
EUR_USD,1769775950.0,1.19415,1.19432,1.19423
EUR_USD,1769775955.0,1.19409,1.19426,1.19417
EUR_USD,1769775960.0,1.19405,1.19422,1.19414
EUR_USD,1769775965.0,1.19410,1.19427,1.19419
EUR_USD,1769775970.0,1.19413,1.19429,1.19421
EUR_USD,1769775975.0,1.19422,1.19438,1.19430
EUR_USD,1769775980.0,1.19426,1.19442,1.19434
EUR_USD,1769775985.0,1.19437,1.19453,1.19445
EUR_USD,1769775990.0,1.19436,1.19453,1.19444
EUR_USD,1769775995.0,1.19435,1.19452,1.19443
EUR_USD,1769776000.0,1.19438,1.19453,1.19446
EUR_USD,1769776005.0,1.19439,1.19454,1.19447
EUR_USD,1769776010.0,1.19437,1.19453,1.19445
EUR_USD,1769776015.0,1.19437,1.19452,1.19444
EUR_USD,1769776020.0,1.19442,1.19458,1.19450
EUR_USD,1769776025.0,1.19447,1.19463,1.19455
EUR_USD,1769776030.0,1.19430,1.19447,1.19439
EUR_USD,1769776035.0,1.19430,1.19447,1.19439
EUR_USD,1769776040.0,1.19429,1.19447,1.19438
EUR_USD,1769776045.0,1.19430,1.19448,1.19439
EUR_USD,1769776050.0,1.19431,1.19448,1.19440
EUR_USD,1769776055.0,1.19436,1.19452,1.19444
EUR_USD,1769776060.0,1.19432,1.19448,1.19440
EUR_USD,1769776065.0,1.19431,1.19447,1.19439
EUR_USD,1769776070.0,1.19431,1.19448,1.19440
