instrument,ts,bid,ask,mid
EUR_USD,1768901835.0,1.17286,1.17302,1.17294
EUR_USD,1768901840.0,1.17286,1.17302,1.17294
EUR_USD,1768901845.0,1.17290,1.17306,1.17298
EUR_USD,1768901850.0,1.17292,1.17308,1.17300
EUR_USD,1768901855.0,1.17300,1.17316,1.17308
EUR_USD,1768901860.0,1.17300,1.17316,1.17308
EUR_USD,1768901865.0,1.17301,1.17317,1.17309
EUR_USD,1768901870.0,1.17300,1.17316,1.17308
EUR_USD,1768901875.0,1.17304,1.17320,1.17312
EUR_USD,1768901880.0,1.17309,1.17326,1.17318
EUR_USD,1768901885.0,1.17313,1.17328,1.17321
EUR_USD,1768901890.0,1.17312,1.17328,1.17320
EUR_USD,1768901895.0,1.17313,1.17328,1.17321
EUR_USD,1768901900.0,1.17316,1.17332,1.17324
EUR_USD,1768901905.0,1.17318,1.17335,1.17326
EUR_USD,1768901910.0,1.17314,1.17329,1.17321
EUR_USD,1768901915.0,1.17319,1.17334,1.17327
EUR_USD,1768901920.0,1.17314,1.17328,1.17321
EUR_USD,1768901925.0,1.17314,1.17329,1.17321
EUR_USD,1768901930.0,1.17311,1.17326,1.17319
EUR_USD,1768901935.0,1.17311,1.17326,1.17319
EUR_USD,1768901940.0,1.17307,1.17323,1.17315
EUR_USD,1768901945.0,1.17302,1.17317,1.17309
EUR_USD,1768901950.0,1.17296,1.17312,1.17304
EUR_USD,1768901955.0,1.17297,1.17313,1.17305
EUR_USD,1768901960.0,1.17302,1.17317,1.17309
EUR_USD,1768901965.0,1.17298,1.17312,1.17305
EUR_USD,1768901970.0,1.17296,1.17312,1.17304
EUR_USD,1768901975.0,1.17289,1.17305,1.17297
EUR_USD,1768901980.0,1.17267,1.17283,1.17275
EUR_USD,1768901985.0,1.17264,1.17279,1.17271
EUR_USD,1768901990.0,1.17273,1.17289,1.17281
EUR_USD,1768901995.0,1.17278,1.17294,1.17286
EUR_USD,1768902000.0,1.17283,1.17300,1.17292
EUR_USD,1768902005.0,1.17292,1.17307,1.17300
EUR_USD,1768902010.0,1.17301,1.17317,1.17309
EUR_USD,1768902015.0,1.17299,1.17315,1.17307
EUR_USD,1768902020.0,1.17299,1.17314,1.17307
EUR_USD,1768902025.0,1.17300,1.17316,1.17308
EUR_USD,1768902030.0,1.17299,1.17315,1.17307
EUR_USD,1768902035.0,1.17299,1.17313,1.17306
EUR_USD,1768902040.0,1.17301,1.17316,1.17308
EUR_USD,1768902045.0,1.17301,1.17316,1.17308
EUR_USD,1768902050.0,1.17300,1.17314,1.17307
EUR_USD,1768902055.0,1.17299,1.17314,1.17307
EUR_USD,1768902060.0,1.17308,1.17323,1.17315
EUR_USD,1768902065.0,1.17308,1.17323,1.17315
EUR_USD,1768902070.0,1.17311,1.17328,1.17320
EUR_USD,1768902075.0,1.17312,1.17328,1.17320
EUR_USD,1768902080.0,1.17309,1.17324,1.17317
EUR_USD,1768902085.0,1.17305,1.17322,1.17313
EUR_USD,1768902090.0,1.17306,1.17322,1.17314
EUR_USD,1768902095.0,1.17304,1.17318,1.17311
EUR_USD,1768902100.0,1.17302,1.17318,1.17310
EUR_USD,1768902105.0,1.17301,1.17317,1.17309
EUR_USD,1768902110.0,1.17296,1.17310,1.17303
EUR_USD,1768902115.0,1.17301,1.17316,1.17308
EUR_USD,1768902120.0,1.17300,1.17317,1.17308
EUR_USD,1768902125.0,1.17301,1.17318,1.17309
EUR_USD,1768902130.0,1.17302,1.17318,1.17310
EUR_USD,1768902135.0,1.17302,1.17318,1.17310
EUR_USD,1768902140.0,1.17302,1.17318,1.17310
EUR_USD,1768902145.0,1.17302,1.17318,1.17310
EUR_USD,1768902150.0,1.17300,1.17317,1.17308
EUR_USD,1768902155.0,1.17293,1.17310,1.17301
EUR_USD,1768902160.0,1.17297,1.17312,1.17305
EUR_USD,1768902165.0,1.17294,1.17310,1.17302
EUR_USD,1768902170.0,1.17301,1.17317,1.17309
EUR_USD,1768902175.0,1.17302,1.17318,1.17310
EUR_USD,1768902180.0,1.17306,1.17322,1.17314
EUR_USD,1768902185.0,1.17309,1.17325,1.17317
EUR_USD,1768902190.0,1.17305,1.17322,1.17313
EUR_USD,1768902195.0,1.17301,1.17315,1.17308
EUR_USD,1768902200.0,1.17295,1.17312,1.17304
EUR_USD,1768902205.0,1.17294,1.17310,1.17302
EUR_USD,1768902210.0,1.17300,1.17316,1.17308
EUR_USD,1768902215.0,1.17295,1.17309,1.17302
EUR_USD,1768902220.0,1.17294,1.17309,1.17301
EUR_USD,1768902225.0,1.17290,1.17304,1.17297
EUR_USD,1768902230.0,1.17291,1.17306,1.17298
EUR_USD,1768902235.0,1.17281,1.17297,1.17289
EUR_USD,1768902240.0,1.17276,1.17292,1.17284
EUR_USD,1768902245.0,1.17278,1.17294,1.17286
EUR_USD,1768902250.0,1.17277,1.17294,1.17286
EUR_USD,1768902255.0,1.17266,1.17283,1.17274
EUR_USD,1768902260.0,1.17268,1.17284,1.17276
EUR_USD,1768902265.0,1.17266,1.17283,1.17274
EUR_USD,1768902270.0,1.17269,1.17286,1.17278
EUR_USD,1768902275.0,1.17270,1.17286,1.17278
EUR_USD,1768902280.0,1.17274,1.17290,1.17282
EUR_USD,1768902285.0,1.17270,1.17287,1.17279
EUR_USD,1768902290.0,1.17266,1.17283,1.17274
EUR_USD,1768902295.0,1.17268,1.17285,1.17277
EUR_USD,1768902300.0,1.17269,1.17284,1.17277
EUR_USD,1768902305.0,1.17263,1.17279,1.17271
EUR_USD,1768902310.0,1.17260,1.17276,1.17268
EUR_USD,1768902315.0,1.17260,1.17276,1.17268
EUR_USD,1768902320.0,1.17260,1.17276,1.17268
EUR_USD,1768902325.0,1.17259,1.17277,1.17268
EUR_USD,1768902330.0,1.17259,1.17276,1.17267
EUR_USD,1768902335.0,1.17258,1.17276,1.17267
EUR_USD,1768902340.0,1.17256,1.17274,1.17265
EUR_USD,1768902345.0,1.17256,1.17272,1.17264
EUR_USD,1768902350.0,1.17255,1.17272,1.17264
EUR_USD,1768902355.0,1.17255,1.17272,1.17264
EUR_USD,1768902360.0,1.17255,1.17272,1.17264
EUR_USD,1768902365.0,1.17254,1.17271,1.17263
EUR_USD,1768902370.0,1.17252,1.17269,1.17260
EUR_USD,1768902375.0,1.17252,1.17268,1.17260
EUR_USD,1768902380.0,1.17249,1.17265,1.17257
EUR_USD,1768902385.0,1.17249,1.17266,1.17258
EUR_USD,1768902390.0,1.17244,1.17261,1.17252
EUR_USD,1768902395.0,1.17239,1.17257,1.17248
EUR_USD,1768902400.0,1.17236,1.17253,1.17245
EUR_USD,1768902405.0,1.17244,1.17261,1.17252
EUR_USD,1768902410.0,1.17245,1.17261,1.17253
EUR_USD,1768902415.0,1.17245,1.17260,1.17253
EUR_USD,1768902420.0,1.17240,1.17256,1.17248
EUR_USD,1768902425.0,1.17243,1.17257,1.17250
EUR_USD,1768902430.0,1.17241,1.17256,1.17248
EUR_USD,1768902435.0,1.17241,1.17256,1.17248
EUR_USD,1768902440.0,1.17239,1.17256,1.17247
EUR_USD,1768902445.0,1.17249,1.17265,1.17257
EUR_USD,1768902450.0,1.17250,1.17265,1.17258
EUR_USD,1768902455.0,1.17241,1.17255,1.17248
EUR_USD,1768902460.0,1.17236,1.17254,1.17245
EUR_USD,1768902465.0,1.17238,1.17253,1.17246
EUR_USD,1768902470.0,1.17235,1.17250,1.17243
EUR_USD,1768902475.0,1.17240,1.17256,1.17248
EUR_USD,1768902480.0,1.17239,1.17257,1.17248
EUR_USD,1768902485.0,1.17234,1.17251,1.17243
EUR_USD,1768902490.0,1.17234,1.17251,1.17243
EUR_USD,1768902495.0,1.17234,1.17251,1.17243
EUR_USD,1768902500.0,1.17238,1.17256,1.17247
EUR_USD,1768902505.0,1.17235,1.17253,1.17244
EUR_USD,1768902510.0,1.17223,1.17242,1.17233
EUR_USD,1768902515.0,1.17229,1.17247,1.17238
EUR_USD,1768902520.0,1.17228,1.17245,1.17237
EUR_USD,1768902525.0,1.17230,1.17246,1.17238
EUR_USD,1768902530.0,1.17232,1.17248,1.17240
EUR_USD,1768902535.0,1.17230,1.17247,1.17238
EUR_USD,1768902540.0,1.17234,1.17251,1.17243
EUR_USD,1768902545.0,1.17238,1.17256,1.17247
EUR_USD,1768902550.0,1.17238,1.17256,1.17247
EUR_USD,1768902555.0,1.17234,1.17250,1.17242
EUR_USD,1768902560.0,1.17234,1.17250,1.17242
EUR_USD,1768902565.0,1.17236,1.17251,1.17244
EUR_USD,1768902570.0,1.17225,1.17242,1.17233
EUR_USD,1768902575.0,1.17230,1.17246,1.17238
EUR_USD,1768902580.0,1.17230,1.17246,1.17238
EUR_USD,1768902585.0,1.17230,1.17246,1.17238
EUR_USD,1768902590.0,1.17230,1.17246,1.17238
EUR_USD,1768902595.0,1.17230,1.17246,1.17238
EUR_USD,1768902600.0,1.17230,1.17245,1.17237
EUR_USD,1768902605.0,1.17229,1.17246,1.17238
EUR_USD,1768902610.0,1.17231,1.17246,1.17239
EUR_USD,1768902615.0,1.17236,1.17253,1.17245
EUR_USD,1768902620.0,1.17239,1.17255,1.17247
EUR_USD,1768902625.0,1.17235,1.17252,1.17244
EUR_USD,1768902630.0,1.17236,1.17251,1.17244
EUR_USD,1768902635.0,1.17232,1.17249,1.17240
EUR_USD,1768902640.0,1.17226,1.17242,1.17234
EUR_USD,1768902645.0,1.17225,1.17243,1.17234
EUR_USD,1768902650.0,1.17233,1.17250,1.17241
EUR_USD,1768902655.0,1.17239,1.17255,1.17247
EUR_USD,1768902660.0,1.17238,1.17255,1.17246
EUR_USD,1768902665.0,1.17249,1.17265,1.17257
EUR_USD,1768902670.0,1.17244,1.17261,1.17252
EUR_USD,1768902675.0,1.17236,1.17253,1.17245
EUR_USD,1768902680.0,1.17236,1.17253,1.17245
EUR_USD,1768902685.0,1.17233,1.17249,1.17241
EUR_USD,1768902690.0,1.17223,1.17240,1.17232
EUR_USD,1768902695.0,1.17230,1.17247,1.17238
EUR_USD,1768902700.0,1.17232,1.17248,1.17240
EUR_USD,1768902705.0,1.17232,1.17248,1.17240
EUR_USD,1768902710.0,1.17235,1.17250,1.17243
EUR_USD,1768902715.0,1.17235,1.17251,1.17243
EUR_USD,1768902720.0,1.17237,1.17253,1.17245
EUR_USD,1768902725.0,1.17231,1.17247,1.17239
EUR_USD,1768902730.0,1.17230,1.17246,1.17238
EUR_USD,1768902735.0,1.17230,1.17246,1.17238
EUR_USD,1768902740.0,1.17229,1.17245,1.17237
EUR_USD,1768902745.0,1.17229,1.17245,1.17237
EUR_USD,1768902750.0,1.17231,1.17248,1.17239
EUR_USD,1768902755.0,1.17229,1.17246,1.17238
EUR_USD,1768902760.0,1.17230,1.17246,1.17238
EUR_USD,1768902765.0,1.17231,1.17246,1.17239
EUR_USD,1768902770.0,1.17233,1.17249,1.17241
EUR_USD,1768902775.0,1.17231,1.17247,1.17239
EUR_USD,1768902780.0,1.17231,1.17247,1.17239
EUR_USD,1768902785.0,1.17232,1.17246,1.17239
EUR_USD,1768902790.0,1.17236,1.17252,1.17244
EUR_USD,1768902795.0,1.17231,1.17246,1.17239
EUR_USD,1768902800.0,1.17232,1.17247,1.17239
EUR_USD,1768902805.0,1.17232,1.17249,1.17240
EUR_USD,1768902810.0,1.17230,1.17246,1.17238
EUR_USD,1768902815.0,1.17230,1.17247,1.17238
EUR_USD,1768902820.0,1.17227,1.17244,1.17236
EUR_USD,1768902825.0,1.17232,1.17248,1.17240
EUR_USD,1768902830.0,1.17231,1.17247,1.17239
EUR_USD,1768902835.0,1.17231,1.17248,1.17239
EUR_USD,1768902840.0,1.17232,1.17248,1.17240
EUR_USD,1768902845.0,1.17229,1.17246,1.17238
EUR_USD,1768902850.0,1.17226,1.17244,1.17235
EUR_USD,1768902855.0,1.17231,1.17248,1.17239
EUR_USD,1768902860.0,1.17231,1.17248,1.17239
EUR_USD,1768902865.0,1.17230,1.17247,1.17238
EUR_USD,1768902870.0,1.17231,1.17246,1.17239
EUR_USD,1768902875.0,1.17230,1.17247,1.17238
EUR_USD,1768902880.0,1.17228,1.17244,1.17236
EUR_USD,1768902885.0,1.17218,1.17235,1.17226
EUR_USD,1768902890.0,1.17226,1.17241,1.17233
EUR_USD,1768902895.0,1.17225,1.17241,1.17233
EUR_USD,1768902900.0,1.17235,1.17252,1.17244
EUR_USD,1768902905.0,1.17238,1.17256,1.17247
