instrument,ts,bid,ask,mid
EUR_USD,1769702780.0,1.19410,1.19427,1.19419
EUR_USD,1769702785.0,1.19410,1.19427,1.19419
EUR_USD,1769702790.0,1.19411,1.19427,1.19419
EUR_USD,1769702795.0,1.19411,1.19428,1.19420
EUR_USD,1769702800.0,1.19415,1.19431,1.19423
EUR_USD,1769702805.0,1.19406,1.19422,1.19414
EUR_USD,1769702810.0,1.19396,1.19413,1.19405
EUR_USD,1769702815.0,1.19401,1.19419,1.19410
EUR_USD,1769702820.0,1.19396,1.19416,1.19406
EUR_USD,1769702825.0,1.19386,1.19402,1.19394
EUR_USD,1769702830.0,1.19369,1.19384,1.19376
EUR_USD,1769702835.0,1.19360,1.19378,1.19369
EUR_USD,1769702840.0,1.19350,1.19367,1.19359
EUR_USD,1769702845.0,1.19360,1.19376,1.19368
EUR_USD,1769702850.0,1.19359,1.19377,1.19368
EUR_USD,1769702855.0,1.19357,1.19372,1.19365
EUR_USD,1769702860.0,1.19370,1.19387,1.19379
EUR_USD,1769702865.0,1.19370,1.19385,1.19378
EUR_USD,1769702870.0,1.19361,1.19377,1.19369
EUR_USD,1769702875.0,1.19360,1.19376,1.19368
EUR_USD,1769702880.0,1.19345,1.19362,1.19353
EUR_USD,1769702885.0,1.19332,1.19349,1.19340
EUR_USD,1769702890.0,1.19329,1.19345,1.19337
EUR_USD,1769702895.0,1.19324,1.19341,1.19333
EUR_USD,1769702900.0,1.19324,1.19341,1.19333
EUR_USD,1769702905.0,1.19341,1.19356,1.19348
EUR_USD,1769702910.0,1.19350,1.19365,1.19358
EUR_USD,1769702915.0,1.19366,1.19380,1.19373
EUR_USD,1769702920.0,1.19359,1.19374,1.19366
EUR_USD,1769702925.0,1.19338,1.19355,1.19347
EUR_USD,1769702930.0,1.19329,1.19346,1.19338
EUR_USD,1769702935.0,1.19334,1.19350,1.19342
EUR_USD,1769702940.0,1.19337,1.19355,1.19346
EUR_USD,1769702945.0,1.19341,1.19357,1.19349
EUR_USD,1769702950.0,1.19341,1.19357,1.19349
EUR_USD,1769702955.0,1.19333,1.19347,1.19340
EUR_USD,1769702960.0,1.19342,1.19358,1.19350
EUR_USD,1769702965.0,1.19339,1.19354,1.19346
EUR_USD,1769702970.0,1.19350,1.19364,1.19357
EUR_USD,1769702975.0,1.19342,1.19357,1.19349
