instrument,ts,bid,ask,mid
EUR_USD,1769537725.0,1.19740,1.19756,1.19748
EUR_USD,1769537730.0,1.19747,1.19764,1.19755
EUR_USD,1769537735.0,1.19745,1.19762,1.19753
EUR_USD,1769537740.0,1.19741,1.19756,1.19748
EUR_USD,1769537745.0,1.19740,1.19756,1.19748
EUR_USD,1769537750.0,1.19740,1.19757,1.19748
EUR_USD,1769537755.0,1.19740,1.19755,1.19747
EUR_USD,1769537760.0,1.19735,1.19750,1.19742
EUR_USD,1769537765.0,1.19737,1.19752,1.19745
EUR_USD,1769537770.0,1.19744,1.19759,1.19752
EUR_USD,1769537775.0,1.19740,1.19756,1.19748
EUR_USD,1769537780.0,1.19744,1.19760,1.19752
EUR_USD,1769537785.0,1.19743,1.19759,1.19751
EUR_USD,1769537790.0,1.19744,1.19761,1.19753
EUR_USD,1769537795.0,1.19739,1.19756,1.19747
EUR_USD,1769537800.0,1.19748,1.19764,1.19756
EUR_USD,1769537805.0,1.19753,1.19769,1.19761
EUR_USD,1769537810.0,1.19755,1.19772,1.19764
EUR_USD,1769537815.0,1.19754,1.19771,1.19762
EUR_USD,1769537820.0,1.19747,1.19763,1.19755
EUR_USD,1769537825.0,1.19744,1.19761,1.19753
EUR_USD,1769537830.0,1.19740,1.19755,1.19747
EUR_USD,1769537835.0,1.19740,1.19756,1.19748
EUR_USD,1769537840.0,1.19740,1.19756,1.19748
EUR_USD,1769537845.0,1.19740,1.19756,1.19748
EUR_USD,1769537850.0,1.19741,1.19756,1.19748
EUR_USD,1769537855.0,1.19744,1.19760,1.19752
EUR_USD,1769537860.0,1.19733,1.19750,1.19741
EUR_USD,1769537865.0,1.19733,1.19749,1.19741
EUR_USD,1769537870.0,1.19731,1.19746,1.19739
EUR_USD,1769537875.0,1.19729,1.19745,1.19737
EUR_USD,1769537880.0,1.19730,1.19745,1.19738
EUR_USD,1769537885.0,1.19730,1.19746,1.19738
EUR_USD,1769537890.0,1.19731,1.19746,1.19739
EUR_USD,1769537895.0,1.19728,1.19745,1.19737
EUR_USD,1769537900.0,1.19736,1.19753,1.19745
EUR_USD,1769537905.0,1.19730,1.19747,1.19739
EUR_USD,1769537910.0,1.19738,1.19753,1.19746
EUR_USD,1769537915.0,1.19733,1.19748,1.19741
EUR_USD,1769537920.0,1.19731,1.19747,1.19739
EUR_USD,1769537925.0,1.19734,1.19749,1.19741
EUR_USD,1769537930.0,1.19730,1.19747,1.19739
EUR_USD,1769537935.0,1.19729,1.19745,1.19737
EUR_USD,1769537940.0,1.19724,1.19740,1.19732
EUR_USD,1769537945.0,1.19724,1.19740,1.19732
EUR_USD,1769537950.0,1.19723,1.19740,1.19732
EUR_USD,1769537955.0,1.19726,1.19741,1.19734
EUR_USD,1769537960.0,1.19725,1.19740,1.19732
EUR_USD,1769537965.0,1.19726,1.19741,1.19734
EUR_USD,1769537970.0,1.19723,1.19738,1.19731
EUR_USD,1769537975.0,1.19726,1.19742,1.19734
EUR_USD,1769537980.0,1.19725,1.19740,1.19732
EUR_USD,1769537985.0,1.19725,1.19740,1.19732
EUR_USD,1769537990.0,1.19726,1.19742,1.19734
EUR_USD,1769537995.0,1.19713,1.19729,1.19721
EUR_USD,1769538000.0,1.19714,1.19730,1.19722
EUR_USD,1769538005.0,1.19714,1.19730,1.19722
EUR_USD,1769538010.0,1.19715,1.19730,1.19722
EUR_USD,1769538015.0,1.19716,1.19732,1.19724
EUR_USD,1769538020.0,1.19721,1.19737,1.19729
EUR_USD,1769538025.0,1.19726,1.19742,1.19734
EUR_USD,1769538030.0,1.19727,1.19744,1.19735
EUR_USD,1769538035.0,1.19738,1.19755,1.19747
EUR_USD,1769538040.0,1.19732,1.19748,1.19740
EUR_USD,1769538045.0,1.19732,1.19748,1.19740
EUR_USD,1769538050.0,1.19732,1.19749,1.19740
EUR_USD,1769538055.0,1.19727,1.19744,1.19735
EUR_USD,1769538060.0,1.19729,1.19745,1.19737
EUR_USD,1769538065.0,1.19721,1.19738,1.19729
EUR_USD,1769538070.0,1.19721,1.19737,1.19729
EUR_USD,1769538075.0,1.19726,1.19741,1.19734
EUR_USD,1769538080.0,1.19725,1.19742,1.19733
EUR_USD,1769538085.0,1.19724,1.19740,1.19732
EUR_USD,1769538090.0,1.19711,1.19727,1.19719
EUR_USD,1769538095.0,1.19709,1.19726,1.19718
EUR_USD,1769538100.0,1.19712,1.19728,1.19720
EUR_USD,1769538105.0,1.19716,1.19731,1.19724
EUR_USD,1769538110.0,1.19716,1.19731,1.19724
EUR_USD,1769538115.0,1.19723,1.19740,1.19732
EUR_USD,1769538120.0,1.19718,1.19735,1.19726
EUR_USD,1769538125.0,1.19720,1.19736,1.19728
EUR_USD,1769538130.0,1.19730,1.19747,1.19739
EUR_USD,1769538135.0,1.19734,1.19750,1.19742
EUR_USD,1769538140.0,1.19731,1.19748,1.19740
EUR_USD,1769538145.0,1.19734,1.19751,1.19742
EUR_USD,1769538150.0,1.19732,1.19749,1.19740
EUR_USD,1769538155.0,1.19733,1.19750,1.19741
EUR_USD,1769538160.0,1.19735,1.19751,1.19743
EUR_USD,1769538165.0,1.19737,1.19753,1.19745
EUR_USD,1769538170.0,1.19743,1.19759,1.19751
EUR_USD,1769538175.0,1.19741,1.19757,1.19749
EUR_USD,1769538180.0,1.19743,1.19758,1.19751
EUR_USD,1769538185.0,1.19744,1.19758,1.19751
EUR_USD,1769538190.0,1.19742,1.19756,1.19749
EUR_USD,1769538195.0,1.19742,1.19757,1.19749
EUR_USD,1769538200.0,1.19752,1.19768,1.19760
EUR_USD,1769538205.0,1.19759,1.19777,1.19768
EUR_USD,1769538210.0,1.19760,1.19777,1.19768
EUR_USD,1769538215.0,1.19760,1.19778,1.19769
EUR_USD,1769538220.0,1.19758,1.19775,1.19767
EUR_USD,1769538225.0,1.19758,1.19775,1.19767
EUR_USD,1769538230.0,1.19763,1.19780,1.19772
EUR_USD,1769538235.0,1.19765,1.19783,1.19774
EUR_USD,1769538240.0,1.19773,1.19790,1.19781
EUR_USD,1769538245.0,1.19778,1.19794,1.19786
EUR_USD,1769538250.0,1.19780,1.19798,1.19789
EUR_USD,1769538255.0,1.19773,1.19791,1.19782
EUR_USD,1769538260.0,1.19775,1.19791,1.19783
EUR_USD,1769538265.0,1.19779,1.19795,1.19787
EUR_USD,1769538270.0,1.19780,1.19797,1.19788
EUR_USD,1769538275.0,1.19778,1.19795,1.19787
EUR_USD,1769538280.0,1.19778,1.19792,1.19785
EUR_USD,1769538285.0,1.19773,1.19790,1.19781
EUR_USD,1769538290.0,1.19765,1.19782,1.19774
EUR_USD,1769538295.0,1.19768,1.19784,1.19776
EUR_USD,1769538300.0,1.19769,1.19786,1.19778
EUR_USD,1769538305.0,1.19769,1.19786,1.19778
EUR_USD,1769538310.0,1.19761,1.19778,1.19769
EUR_USD,1769538315.0,1.19759,1.19775,1.19767
EUR_USD,1769538320.0,1.19763,1.19780,1.19772
EUR_USD,1769538325.0,1.19760,1.19777,1.19768
EUR_USD,1769538330.0,1.19768,1.19785,1.19776
EUR_USD,1769538335.0,1.19762,1.19778,1.19770
EUR_USD,1769538340.0,1.19765,1.19782,1.19774
EUR_USD,1769538345.0,1.19763,1.19780,1.19772
EUR_USD,1769538350.0,1.19760,1.19777,1.19768
EUR_USD,1769538355.0,1.19764,1.19781,1.19773
EUR_USD,1769538360.0,1.19764,1.19781,1.19773
EUR_USD,1769538365.0,1.19764,1.19780,1.19772
EUR_USD,1769538370.0,1.19768,1.19786,1.19777
EUR_USD,1769538375.0,1.19769,1.19785,1.19777
EUR_USD,1769538380.0,1.19769,1.19785,1.19777
EUR_USD,1769538385.0,1.19769,1.19784,1.19776
EUR_USD,1769538390.0,1.19765,1.19780,1.19773
EUR_USD,1769538395.0,1.19765,1.19780,1.19773
EUR_USD,1769538400.0,1.19761,1.19777,1.19769
EUR_USD,1769538405.0,1.19760,1.19776,1.19768
EUR_USD,1769538410.0,1.19753,1.19770,1.19761
EUR_USD,1769538415.0,1.19749,1.19766,1.19758
EUR_USD,1769538420.0,1.19749,1.19765,1.19757
EUR_USD,1769538425.0,1.19744,1.19760,1.19752
EUR_USD,1769538430.0,1.19743,1.19761,1.19752
EUR_USD,1769538435.0,1.19743,1.19760,1.19752
EUR_USD,1769538440.0,1.19744,1.19761,1.19753
EUR_USD,1769538445.0,1.19743,1.19760,1.19752
EUR_USD,1769538450.0,1.19739,1.19757,1.19748
EUR_USD,1769538455.0,1.19738,1.19756,1.19747
EUR_USD,1769538460.0,1.19739,1.19756,1.19747
EUR_USD,1769538465.0,1.19740,1.19756,1.19748
EUR_USD,1769538470.0,1.19739,1.19756,1.19747
EUR_USD,1769538475.0,1.19743,1.19760,1.19752
EUR_USD,1769538480.0,1.19743,1.19760,1.19752
EUR_USD,1769538485.0,1.19738,1.19755,1.19747
EUR_USD,1769538490.0,1.19738,1.19755,1.19747
EUR_USD,1769538495.0,1.19738,1.19755,1.19747
EUR_USD,1769538500.0,1.19738,1.19755,1.19747
EUR_USD,1769538505.0,1.19738,1.19756,1.19747
EUR_USD,1769538510.0,1.19738,1.19755,1.19747
EUR_USD,1769538515.0,1.19738,1.19756,1.19747
EUR_USD,1769538520.0,1.19744,1.19761,1.19753
