timestamp_start,price_start,pair,direction,time_to_target,target_distance,max_mfe_pips,max_mae_pips,duration,session,weekday,speed,efficiency,drawdown_ratio,extension,composite_score,final_price,price_path,zone_label
2024-01-15T10:49:00.000000000Z,1.09363,EUR_USD,LONG,2,2.5,2.9999999999996696,0.0,2,london,monday,1.25,1.0,0.0,1.1999999999998678,0.7199999999999868,1.09393,"[1.09363, 1.09372, 1.09393]",A
2024-01-15T10:52:00.000000000Z,1.09384,EUR_USD,LONG,4,2.5,2.6999999999999247,0.0,4,london,monday,0.625,1.0,0.0,1.0799999999999699,0.707999999999997,1.09411,"[1.09384, 1.09386, 1.09387, 1.09397, 1.09411]",A
2024-01-15T11:32:00.000000000Z,1.09468,EUR_USD,SHORT,2,2.5,2.6999999999999247,0.0,2,london,monday,1.25,1.0,0.0,1.0799999999999699,0.707999999999997,1.09441,"[1.09468, 1.09458, 1.09441]",A
2024-01-15T11:34:00.000000000Z,1.09441,EUR_USD,LONG,3,2.5,2.6999999999999247,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.0799999999999699,0.707999999999997,1.09468,"[1.09441, 1.09442, 1.09462, 1.09468]",A
2024-01-15T11:35:00.000000000Z,1.09442,EUR_USD,LONG,2,2.5,2.60000000000149,0.0,2,london,monday,1.25,1.0,0.0,1.040000000000596,0.7040000000000596,1.09468,"[1.09442, 1.09462, 1.09468]",A
2024-01-15T11:40:00.000000000Z,1.09489,EUR_USD,SHORT,1,2.5,2.8999999999990145,0.0,1,london,monday,2.5,1.0,0.0,1.1599999999996058,0.7159999999999606,1.0946,"[1.09489, 1.0946]",A
2024-01-15T11:43:00.000000000Z,1.09466,EUR_USD,SHORT,3,2.5,3.1999999999987594,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.2799999999995038,0.7279999999999504,1.09434,"[1.09466, 1.09464, 1.09444, 1.09434]",A+
2024-01-15T11:44:00.000000000Z,1.09464,EUR_USD,SHORT,2,2.5,2.9999999999996696,0.0,2,london,monday,1.25,1.0,0.0,1.1999999999998678,0.7199999999999868,1.09434,"[1.09464, 1.09444, 1.09434]",A
2024-01-15T11:47:00.000000000Z,1.0946,EUR_USD,SHORT,5,2.5,3.9999999999995595,0.10000000000065512,5,london,monday,0.5,0.9523809523806502,0.04000000000026205,1.5999999999998238,0.7329523809521902,1.0942,"[1.0946, 1.09461, 1.09446, 1.09446, 1.09445, 1.0942]",A+
2024-01-15T11:48:00.000000000Z,1.09461,EUR_USD,SHORT,4,2.5,4.100000000000215,0.0,4,london,monday,0.625,1.0,0.0,1.6400000000000858,0.7640000000000086,1.0942,"[1.09461, 1.09446, 1.09446, 1.09445, 1.0942]",A+
2024-01-15T11:53:00.000000000Z,1.09426,EUR_USD,LONG,4,2.5,3.6999999999998145,0.0,4,london,monday,0.625,1.0,0.0,1.4799999999999258,0.7479999999999926,1.09463,"[1.09426, 1.09428, 1.09431, 1.09446, 1.09463]",A+
2024-01-15T11:54:00.000000000Z,1.09428,EUR_USD,LONG,3,2.5,3.5000000000007248,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.40000000000029,0.740000000000029,1.09463,"[1.09428, 1.09431, 1.09446, 1.09463]",A+
2024-01-15T11:55:00.000000000Z,1.09431,EUR_USD,LONG,2,2.5,3.20000000000098,0.0,2,london,monday,1.25,1.0,0.0,1.280000000000392,0.7280000000000392,1.09463,"[1.09431, 1.09446, 1.09463]",A+
2024-01-15T12:03:00.000000000Z,1.09448,EUR_USD,LONG,1,2.5,3.5000000000007248,0.0,1,london,monday,2.5,1.0,0.0,1.40000000000029,0.740000000000029,1.09483,"[1.09448, 1.09483]",A+
2024-01-15T12:09:00.000000000Z,1.09513,EUR_USD,LONG,4,2.5,2.900000000001235,0.0,4,london,monday,0.625,1.0,0.0,1.160000000000494,0.7160000000000494,1.09542,"[1.09513, 1.09516, 1.0952, 1.09527, 1.09542]",A
2024-01-15T12:10:00.000000000Z,1.09516,EUR_USD,LONG,3,2.5,2.60000000000149,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.040000000000596,0.7040000000000596,1.09542,"[1.09516, 1.0952, 1.09527, 1.09542]",A
2024-01-15T12:11:00.000000000Z,1.0952,EUR_USD,LONG,3,2.5,2.80000000000058,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.120000000000232,0.7120000000000232,1.09548,"[1.0952, 1.09527, 1.09542, 1.09548]",A
2024-01-15T12:12:00.000000000Z,1.09527,EUR_USD,LONG,5,2.5,3.2999999999994145,0.0,5,london,monday,0.5,0.9428571428567804,0.0,1.3199999999997658,0.7091428571426888,1.0956,"[1.09527, 1.09542, 1.09548, 1.09548, 1.09547, 1.0956]",A
2024-01-15T12:26:00.000000000Z,1.09535,EUR_USD,SHORT,2,2.5,2.900000000001235,0.0,2,london,monday,1.25,1.0,0.0,1.160000000000494,0.7160000000000494,1.09506,"[1.09535, 1.09514, 1.09506]",A
2024-01-15T12:33:00.000000000Z,1.0947,EUR_USD,LONG,1,2.5,4.20000000000087,0.0,1,london,monday,2.5,1.0,0.0,1.6800000000003479,0.7680000000000348,1.09512,"[1.0947, 1.09512]",A+
2024-01-15T12:36:00.000000000Z,1.09509,EUR_USD,SHORT,2,2.5,2.8999999999990145,0.0,2,london,monday,1.25,1.0,0.0,1.1599999999996058,0.7159999999999606,1.0948,"[1.09509, 1.095, 1.0948]",A
2024-01-15T12:38:00.000000000Z,1.0948,EUR_USD,LONG,1,2.5,3.5999999999991594,0.0,1,london,monday,2.5,1.0,0.0,1.4399999999996638,0.7439999999999664,1.09516,"[1.0948, 1.09516]",A+
2024-01-15T12:39:00.000000000Z,1.09516,EUR_USD,LONG,1,2.5,4.00000000000178,0.0,1,london,monday,2.5,1.0,0.0,1.600000000000712,0.7600000000000712,1.09556,"[1.09516, 1.09556]",A+
2024-01-15T12:41:00.000000000Z,1.09582,EUR_USD,SHORT,1,2.5,2.900000000001235,0.0,1,london,monday,2.5,1.0,0.0,1.160000000000494,0.7160000000000494,1.09553,"[1.09582, 1.09553]",A
2024-01-15T12:46:00.000000000Z,1.09526,EUR_USD,LONG,3,2.5,2.80000000000058,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.120000000000232,0.7120000000000232,1.09554,"[1.09526, 1.09536, 1.0954, 1.09554]",A
2024-01-15T12:47:00.000000000Z,1.09536,EUR_USD,LONG,3,2.5,2.700000000002145,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.080000000000858,0.7080000000000858,1.09563,"[1.09536, 1.0954, 1.09554, 1.09563]",A
