valid,tau,mfe,mae,speed,early_impulse,efficiency,risk_ratio,extension,drawdown_ratio,direction,timestamp_start,opportunity_id,composite_score,rank
True,2,2.9999999999996696,0.0,1.25,1.0,1.0,299.999999999967,1.1999999999998678,0.0,SHORT,2024-01-15T11:44:00.000000000Z,2024-01-15T11:44:00.000000000Z_SHORT,0.559990324141234,41
True,2,2.900000000001235,0.0,1.25,1.0,1.0,290.00000000012346,1.160000000000494,0.0,SHORT,2024-01-15T12:26:00.000000000Z,2024-01-15T12:26:00.000000000Z_SHORT,0.5574262215771723,42
True,2,2.900000000001235,0.0,1.25,1.0,1.0,290.00000000012346,1.160000000000494,0.0,LONG,2024-01-15T16:25:00.000000000Z,2024-01-15T16:25:00.000000000Z_LONG,0.5574262215771723,43
True,2,2.8999999999990145,0.0,1.25,1.0,1.0,289.99999999990143,1.1599999999996058,0.0,SHORT,2024-01-15T10:16:00.000000000Z,2024-01-15T10:16:00.000000000Z_SHORT,0.5574262215771153,44
True,2,2.8999999999990145,0.0,1.25,1.0,1.0,289.99999999990143,1.1599999999996058,0.0,SHORT,2024-01-15T12:36:00.000000000Z,2024-01-15T12:36:00.000000000Z_SHORT,0.5574262215771153,45
True,2,2.8999999999990145,0.0,1.25,1.0,1.0,289.99999999990143,1.1599999999996058,0.0,SHORT,2024-01-15T15:29:00.000000000Z,2024-01-15T15:29:00.000000000Z_SHORT,0.5574262215771153,46
True,2,2.80000000000058,0.0,1.25,1.0,1.0,280.000000000058,1.120000000000232,0.0,SHORT,2024-01-15T12:55:00.000000000Z,2024-01-15T12:55:00.000000000Z_SHORT,0.5548621190130536,47
True,2,2.7999999999983594,0.0,1.25,1.0,1.0,279.99999999983595,1.1199999999993437,0.0,LONG,2024-01-15T15:49:00.000000000Z,2024-01-15T15:49:00.000000000Z_LONG,0.5548621190129968,48
True,2,2.700000000002145,0.0,1.25,1.0,1.0,270.0000000002145,1.080000000000858,0.0,SHORT,2024-01-15T16:30:00.000000000Z,2024-01-15T16:30:00.000000000Z_SHORT,0.5522980164489919,49
True,2,2.6999999999999247,0.0,1.25,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,LONG,2024-01-15T09:47:00.000000000Z,2024-01-15T09:47:00.000000000Z_LONG,0.5522980164489351,50
